iter	Passed	Remaining
0	233	116404
1	323	80525
2	417	69216
3	520	64514
4	649	64327
5	789	65031
6	939	66137
7	1067	65658
8	1162	63444
9	1261	61808
10	1372	61008
11	1467	59667
12	1581	59242
13	1685	58512
14	1765	57071
15	1852	56028
16	1944	55239
17	2032	54434
18	2132	53976
19	2222	53329
20	2305	52592
21	2393	52014
22	2493	51709
23	2579	51155
24	2676	50844
25	2766	50442
26	2853	49981
27	2945	49647
28	3021	49068
29	3105	48660
30	3198	48395
31	3297	48229
32	3389	47968
33	3478	47676
34	3568	47407
35	3650	47051
36	3747	46900
37	3846	46768
38	3937	46540
39	4031	46361
40	4127	46211
41	4202	45824
42	4295	45655
43	4392	45522
44	4468	45180
45	4582	45223
46	4673	45043
47	4768	44906
48	4879	44909
49	4975	44782
50	5069	44632
51	5176	44597
52	5272	44472
53	5360	44275
54	5481	44346
55	5579	44236
56	5674	44098
57	5745	43782
58	5820	43508
59	5887	43173
60	5983	43061
61	6075	42919
62	6167	42783
63	6258	42633
64	6343	42454
65	6417	42201
66	6483	41897
67	6581	41813
68	6658	41589
69	6734	41368
70	6826	41248
71	6890	40958
72	6963	40729
73	7040	40530
74	7111	40297
75	7175	40033
76	7261	39892
77	7346	39743
78	7428	39589
79	7505	39403
80	7572	39170
81	7650	38999
82	7732	38848
83	7805	38657
84	7909	38615
85	7985	38440
86	8079	38353
87	8162	38216
88	8249	38097
89	8323	37917
90	8414	37817
91	8493	37668
92	8566	37488
93	8637	37307
94	8724	37192
95	8812	37086
96	8886	36920
97	8976	36821
98	9051	36664
99	9146	36585
100	9216	36408
101	9289	36246
102	9369	36114
103	9447	35972
104	9526	35837
105	9618	35752
106	9689	35587
107	9752	35399
108	9823	35240
109	9908	35129
110	9979	34973
111	10056	34838
112	10130	34694
113	10197	34529
114	10273	34394
115	10365	34314
116	10453	34221
117	10572	34225
118	10672	34168
119	10769	34104
120	10910	34175
121	10998	34075
122	11096	34012
123	11192	33939
124	11281	33843
125	11393	33817
126	11488	33742
127	11568	33620
128	11656	33522
129	11731	33388
130	11806	33256
131	11887	33140
132	11989	33082
133	12081	32997
134	12171	32906
135	12255	32800
136	12341	32700
137	12417	32574
138	12503	32473
139	12584	32360
140	12671	32262
141	12759	32169
142	12845	32067
143	12940	31992
144	13017	31870
145	13102	31769
146	13190	31675
